?cls	?xref
<http://purl.obolibrary.org/obo/CHEBI_72813>	"PMID:11160795"
<http://purl.obolibrary.org/obo/CHEBI_72813>	"PMID:20631870"
<http://purl.obolibrary.org/obo/CHEBI_72813>	"PMID:15738217"
<http://purl.obolibrary.org/obo/UBERON_0001246>	"FMA:15767"
<http://purl.obolibrary.org/obo/UBERON_0001246>	"MA:0002668"
<http://purl.obolibrary.org/obo/UBERON_0001246>	"SCTID:83488001"
<http://purl.obolibrary.org/obo/UBERON_0001246>	"Wikipedia:Interlobular_bile_ducts"
<http://purl.obolibrary.org/obo/UBERON_0001246>	"UMLS:C0227515"
<http://purl.obolibrary.org/obo/UBERON_0001246>	"NCIT:C32827"
<http://purl.obolibrary.org/obo/UBERON_0001199>	"EMAPA:35817"
<http://purl.obolibrary.org/obo/UBERON_0001199>	"GAID:321"
<http://purl.obolibrary.org/obo/UBERON_0001199>	"Wikipedia:Gastric_mucosa"
<http://purl.obolibrary.org/obo/UBERON_0001199>	"FMA:14907"
<http://purl.obolibrary.org/obo/UBERON_0001199>	"UMLS:C0017136"
<http://purl.obolibrary.org/obo/UBERON_0001199>	"BTO:0001308"
<http://purl.obolibrary.org/obo/UBERON_0001199>	"NCIT:C32656"
<http://purl.obolibrary.org/obo/UBERON_0001199>	"SCTID:362131005"
<http://purl.obolibrary.org/obo/UBERON_0001199>	"MA:0002683"
<http://purl.obolibrary.org/obo/UBERON_0001199>	"galen:GastricMucosa"
<http://purl.obolibrary.org/obo/UBERON_0001199>	"MESH:D005753"
<http://purl.obolibrary.org/obo/UBERON_0001199>	"CALOHA:TS-0404"
<http://purl.obolibrary.org/obo/UBERON_0001710>	"SCTID:362637005"
<http://purl.obolibrary.org/obo/UBERON_0001710>	"EHDAA:7995"
<http://purl.obolibrary.org/obo/UBERON_0001710>	"FMA:59398"
<http://purl.obolibrary.org/obo/UBERON_0001710>	"MESH:D008334"
<http://purl.obolibrary.org/obo/UBERON_0001710>	"Wikipedia:Lower_jaw"
<http://purl.obolibrary.org/obo/UBERON_0001710>	"EFO:0003660"
<http://purl.obolibrary.org/obo/UBERON_0001710>	"VHOG:0000453"
<http://purl.obolibrary.org/obo/UBERON_0001710>	"EMAPA:17906"
<http://purl.obolibrary.org/obo/UBERON_0001710>	"EHDAA2:0001018"
<http://purl.obolibrary.org/obo/UBERON_0001710>	"ncithesaurus:Lower_Jaw"
<http://purl.obolibrary.org/obo/UBERON_0001710>	"AAO:0000272"
<http://purl.obolibrary.org/obo/UBERON_0002536>	"TGMA:0000540"
<http://purl.obolibrary.org/obo/UBERON_0002536>	"HAO:0000933"
<http://purl.obolibrary.org/obo/UBERON_0002536>	"MIAA:0000163"
<http://purl.obolibrary.org/obo/UBERON_0002536>	"Wikipedia:Sensillum"
<http://purl.obolibrary.org/obo/UBERON_0002536>	"BTO:0001237"
<http://purl.obolibrary.org/obo/UBERON_0002536>	"MAT:0000163"
<http://purl.obolibrary.org/obo/UBERON_0002536>	"FBbt:00007152"
<http://purl.obolibrary.org/obo/UBERON_0002536>	"EFO:0000939"
<http://purl.obolibrary.org/obo/UBERON_0003527>	"MA:0002586"
<http://purl.obolibrary.org/obo/UBERON_0003527>	"EMAPA:31443"
<http://purl.obolibrary.org/obo/UBERON_0003527>	"SCTID:275409003"
<http://purl.obolibrary.org/obo/UBERON_0007245>	"FMA:256381"
<http://purl.obolibrary.org/obo/UBERON_0007245>	"FMA:84059"
<http://purl.obolibrary.org/obo/UBERON_0000168>	"FMA:222905"
<http://purl.obolibrary.org/obo/UBERON_0002409>	"Wikipedia:Pericardial_fluid"
<http://purl.obolibrary.org/obo/UBERON_0002409>	"MESH:D000069236"
<http://purl.obolibrary.org/obo/UBERON_0002409>	"BTO:0001016"
<http://purl.obolibrary.org/obo/UBERON_0002409>	"MA:0002530"
<http://purl.obolibrary.org/obo/UBERON_0002409>	"FMA:9887"
<http://purl.obolibrary.org/obo/UBERON_0004785>	"BTO:0000973"
<http://purl.obolibrary.org/obo/UBERON_0004785>	"MESH:D020545"
<http://purl.obolibrary.org/obo/UBERON_0004785>	"EMAPA:18334"
<http://purl.obolibrary.org/obo/UBERON_0004785>	"MA:0001827"
<http://purl.obolibrary.org/obo/UBERON_0004785>	"FMA:302092"
<http://purl.obolibrary.org/obo/UBERON_0004785>	"EMAPA:37577"
<http://purl.obolibrary.org/obo/UBERON_0004785>	"GAID:304"
<http://purl.obolibrary.org/obo/UBERON_0009664>	"MA:0003203"
<http://purl.obolibrary.org/obo/UBERON_0009664>	"EHDAA2:0004566"
<http://purl.obolibrary.org/obo/UBERON_0009664>	"EMAPA:32911"
<http://purl.obolibrary.org/obo/UBERON_0000473>	"AAO:0000606"
<http://purl.obolibrary.org/obo/UBERON_0000473>	"VHOG:0000252"
<http://purl.obolibrary.org/obo/UBERON_0000473>	"FMA:7210"
<http://purl.obolibrary.org/obo/UBERON_0000473>	"EHDAA:8146"
<http://purl.obolibrary.org/obo/UBERON_0000473>	"EFO:0000984"
<http://purl.obolibrary.org/obo/UBERON_0000473>	"ZFA:0000598"
<http://purl.obolibrary.org/obo/UBERON_0000473>	"MAT:0000132"
<http://purl.obolibrary.org/obo/UBERON_0000473>	"galen:Testis"
<http://purl.obolibrary.org/obo/UBERON_0000473>	"EV:0100102"
<http://purl.obolibrary.org/obo/UBERON_0000473>	"SCTID:181431007"
<http://purl.obolibrary.org/obo/UBERON_0000473>	"BSA:0000085"
<http://purl.obolibrary.org/obo/UBERON_0000473>	"MIAA:0000132"
<http://purl.obolibrary.org/obo/UBERON_0000473>	"MA:0000411"
<http://purl.obolibrary.org/obo/UBERON_0000473>	"BILA:0000124"
<http://purl.obolibrary.org/obo/UBERON_0000473>	"BTO:0001363"
<http://purl.obolibrary.org/obo/UBERON_0000473>	"FBbt:00004928"
<http://purl.obolibrary.org/obo/UBERON_0000473>	"UMLS:C0039597"
<http://purl.obolibrary.org/obo/UBERON_0000473>	"WBbt:0006794"
<http://purl.obolibrary.org/obo/UBERON_0000473>	"EMAPA:17972"
<http://purl.obolibrary.org/obo/UBERON_0000473>	"MESH:D013737"
<http://purl.obolibrary.org/obo/UBERON_0000473>	"TAO:0000598"
<http://purl.obolibrary.org/obo/UBERON_0000473>	"CALOHA:TS-1030"
