?cls	?pred	?val	?synType
<http://purl.obolibrary.org/obo/GO_0060285>	<http://www.w3.org/2000/01/rdf-schema#label>	"cilium-dependent cell motility"	
<http://purl.obolibrary.org/obo/GO_0005277>	<http://www.w3.org/2000/01/rdf-schema#label>	"acetylcholine transmembrane transporter activity"	
<http://purl.obolibrary.org/obo/CHEBI_72813>	<http://www.w3.org/2000/01/rdf-schema#label>	"exopolysaccharide"	
<http://purl.obolibrary.org/obo/CHEBI_48354>	<http://www.w3.org/2000/01/rdf-schema#label>	"polar solvent"	
<http://purl.obolibrary.org/obo/UBERON_0001246>	<http://www.w3.org/2000/01/rdf-schema#label>	"interlobular bile duct"	
<http://purl.obolibrary.org/obo/GO_0070727>	<http://www.w3.org/2000/01/rdf-schema#label>	"cellular macromolecule localization"	
<http://purl.obolibrary.org/obo/GO_0036093>	<http://www.w3.org/2000/01/rdf-schema#label>	"germ cell proliferation"	
<http://purl.obolibrary.org/obo/UBERON_0001199>	<http://www.w3.org/2000/01/rdf-schema#label>	"mucosa of stomach"	
<http://purl.obolibrary.org/obo/UBERON_0001710>	<http://www.w3.org/2000/01/rdf-schema#label>	"lower jaw region"	
<http://purl.obolibrary.org/obo/UBERON_0002536>	<http://www.w3.org/2000/01/rdf-schema#label>	"arthropod sensillum"	
<http://purl.obolibrary.org/obo/GO_0007423>	<http://www.w3.org/2000/01/rdf-schema#label>	"sensory organ development"	
<http://purl.obolibrary.org/obo/GO_0010701>	<http://www.w3.org/2000/01/rdf-schema#label>	"positive regulation of norepinephrine secretion"	
<http://purl.obolibrary.org/obo/UBERON_0003527>	<http://www.w3.org/2000/01/rdf-schema#label>	"kidney capillary"	
<http://purl.obolibrary.org/obo/UBERON_0011597>	<http://www.w3.org/2000/01/rdf-schema#label>	"bone of upper jaw"	
<http://purl.obolibrary.org/obo/GO_1903530>	<http://www.w3.org/2000/01/rdf-schema#label>	"regulation of secretion by cell"	
<http://purl.obolibrary.org/obo/CHEBI_33259>	<http://www.w3.org/2000/01/rdf-schema#label>	"elemental molecular entity"	
<http://purl.obolibrary.org/obo/GO_0060491>	<http://www.w3.org/2000/01/rdf-schema#label>	"regulation of cell projection assembly"	
<http://purl.obolibrary.org/obo/UBERON_0007245>	<http://www.w3.org/2000/01/rdf-schema#label>	"nuclear complex of neuraxis"	
<http://purl.obolibrary.org/obo/UBERON_0000168>	<http://www.w3.org/2000/01/rdf-schema#label>	"proximal-distal subdivision of colon"	
<http://purl.obolibrary.org/obo/CL_0002363>	<http://www.w3.org/2000/01/rdf-schema#label>	"keratocyte"	
<http://purl.obolibrary.org/obo/GO_0061559>	<http://www.w3.org/2000/01/rdf-schema#label>	"cranial ganglion morphogenesis"	
<http://purl.obolibrary.org/obo/GO_1904304>	<http://www.w3.org/2000/01/rdf-schema#label>	"regulation of gastro-intestinal system smooth muscle contraction"	
